prompt,gold,anatomy-tutor__totalRequestTime,anatomy-tutor__loadSeconds,anatomy-tutor__correct,anatomy-tutor-fast__totalRequestTime,anatomy-tutor-fast__loadSeconds,anatomy-tutor-fast__correct,llama3.2__totalRequestTime,llama3.2__loadSeconds,llama3.2__correct,llama3.2:1b__totalRequestTime,llama3.2:1b__loadSeconds,llama3.2:1b__correct,medllama2__totalRequestTime,medllama2__loadSeconds,medllama2__correct,ncatmedllama__totalRequestTime,ncatmedllama__loadSeconds,ncatmedllama__correct,qwen2.5:3b__totalRequestTime,qwen2.5:3b__loadSeconds,qwen2.5:3b__correct
15528969 | Is expert breast pathology assessment necessary for the management of ductal car,yes,23.64798,0.0264744,0,5.152506,0.1472225,1,6.10065,0.1426752,1,1.284692,0.1448892,0,12.94595,0.0244203,0,16.1119,0.0259191,0,6.908394,0.1191978,1
15597845 | Is the combination with 2-methoxyestradiol able to reduce the dosages of chemoth,yes,24.62007,0.0275517,0,6.273036,0.1459954,1,7.621293,0.1340114,1,1.258203,0.1497374,0,6.768797,0.0248021,0,14.0566,0.0289263,0,5.497125,0.1153223,1
15918864 | Learning needs of postpartum women: does socioeconomic status matter?,yes,17.94295,0.0258605,0,6.791866,0.1406636,1,6.239684,0.1420091,1,1.47803,0.1388429,0,9.973255,0.0260647,1,21.72121,0.0254825,1,5.587121,0.1169812,0
15995461 | Do some U.S. states have higher/lower injury mortality rates than others?,yes,16.10919,0.0284548,0,6.44861,0.1459022,1,5.640382,0.135716,1,0.8738738,0.144186,1,17.14045,0.0232745,0,17.04975,0.0254707,1,4.598328,0.1220511,1
16147837 | Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,yes,22.00463,0.0229827,1,5.942271,0.1456694,1,7.168445,0.1488938,1,1.474472,0.1325146,1,18.36006,0.025907,0,16.1808,0.0251813,1,7.412626,0.1135247,0
16266387 | Fast foods - are they a risk factor for asthma?,yes,27.67742,0.0275886,1,5.675779,0.1446416,1,8.19147,0.1526547,1,1.659511,0.1415583,0,10.30756,0.0237938,0,18.3723,0.025353,0,5.338455,0.1121561,0
16713745 | Do cytokine concentrations in pancreatic juice predict the presence of pancreati,yes,15.70109,0.0273191,0,6.138888,0.1485324,1,4.880051,0.1331375,1,1.475078,0.1440961,0,14.87436,0.0264324,0,19.3775,0.0232182,0,5.619987,0.1154953,0
16769333 | Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it ma,yes,16.1757,0.0264638,1,5.731903,0.1432466,1,7.090292,0.1519594,1,3.430538,0.1470036,0,10.62529,0.0223988,0,18.90374,0.0265771,0,6.794815,0.1134573,0
16971978 | Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes,18.58609,0.0280371,1,4.974656,0.1487377,1,7.887309,0.1447201,1,1.672124,0.1462206,0,23.89008,0.0265288,0,18.26513,0.0232951,1,4.274794,0.114226,1
17276182 | Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factor,yes,17.03171,0.0264738,0,4.873547,0.1443068,1,6.503181,0.1435011,0,1.266674,0.1471249,0,37.70291,0.0253916,0,14.71981,0.0269585,0,6.1206,0.1164058,1
17306983 | Is size-reducing ascending aortoplasty with external reinforcement an option in ,yes,22.09232,0.0270011,1,4.897218,0.1449284,1,6.288931,0.146474,1,1.496972,0.1478871,0,16.89734,0.025417,1,29.31633,0.0248582,1,5.246589,0.1169772,0
17355582 | Does ambulatory process of care predict health-related quality of life outcomes ,yes,18.93602,0.023377,0,5.502538,0.1482993,1,7.13989,0.1412596,1,1.489056,0.1457036,0,15.46872,0.0244806,0,13.61699,0.0279726,0,6.086236,0.120405,0
17682349 | Are there gender differences in the reasons why African Americans delay in seeki,yes,21.0725,0.0268464,1,5.163222,0.152569,1,6.219936,0.1391938,1,1.24923,0.1440818,0,18.48132,0.0273488,0,19.30972,0.025898,0,5.166192,0.1150591,0
18041059 | Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopau,yes,24.33394,0.0258203,1,4.930956,0.1417799,1,8.772428,0.1384687,1,1.658886,0.1322521,0,24.22868,0.0258881,0,27.33724,0.0255156,1,5.825787,0.1180532,0
18239988 | Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine labo,yes,24.05508,0.0253631,0,6.842283,0.1442419,1,7.454397,0.1446443,1,3.188615,0.1481097,0,13.20114,0.0294579,0,25.80783,0.0250247,0,6.32494,0.1112594,0
18537964 | Does a physician's specialty influence the recording of medication history in pa,yes,16.27139,0.0260355,0,4.12197,0.142867,1,5.915963,0.1393475,1,1.269106,0.137875,0,21.43369,0.0252406,0,20.88618,0.0264363,0,5.191404,0.1210558,1
18570208 | Is severe macrosomia manifested at 11-14 weeks of gestation?,yes,21.26362,0.0264007,1,5.436791,0.1431241,1,6.975296,0.1372442,1,1.275676,0.142891,1,14.54752,0.0243859,0,10.69353,0.0263099,0,6.160719,0.1175702,0
18594195 | Do older patients who refuse to participate in a self-management intervention in,yes,17.08747,0.0233415,0,5.255611,0.1502346,1,5.526441,0.1467098,1,1.254711,0.1513685,1,14.1112,0.0257038,0,15.35314,0.0268964,0,4.355421,0.1148108,0
18783922 | Do cytokines have any role in epilepsy?,yes,12.83232,0.0254662,0,9.799706,0.1465846,1,6.74037,0.1416134,1,1.891448,0.1473435,0,20.23547,0.0236888,0,24.46933,0.0248795,0,6.557411,0.1244001,1
19027440 | Can we predict which head and neck cancer survivors develop fears of recurrence?,yes,21.93311,0.0265841,0,5.136104,0.140426,1,7.335476,0.1423073,1,1.281971,0.143031,0,12.3827,0.0243312,0,19.31715,0.02804,0,6.881791,0.1144364,0
19100463 | Is the affinity column-mediated immunoassay method suitable as an alternative to,yes,24.87401,0.025821,0,7.383613,0.1515887,1,7.652028,0.1409326,1,1.484466,0.1453856,0,22.94259,0.0248246,0,22.3892,0.025406,0,7.810833,0.1192963,0
"19106867 | The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,14.5383,0.0245042,0,4.79252,0.1445798,1,6.846497,0.1458478,1,0.8746676,0.1379986,1,14.75619,0.0275061,0,14.07974,0.025455,0,4.75182,0.1230968,0
19130332 | Is the zeolite hemostatic agent beneficial in reducing blood loss during arteria,yes,19.9692,0.0251645,0,5.86926,0.1451099,1,6.631416,0.1379541,1,1.262919,0.1426929,1,17.8303,0.0238839,0,22.86432,0.0249529,1,6.039154,0.1110413,0
19482903 | Treadmill testing of children who have spina bifida and are ambulatory: does pea,yes,23.76787,0.0257997,0,6.252473,0.1455655,1,6.726834,0.1435583,0,1.536728,0.1526198,0,11.66811,0.027632,1,29.46324,0.0279045,0,8.098791,0.1219663,0
20297950 | Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,yes,22.62111,0.0245857,0,5.615896,0.1489348,1,8.521532,0.1457181,1,4.268043,0.139233,0,14.85672,0.026033,0,14.22229,0.0262975,0,5.88392,0.1189943,0
20571467 | Is it appropriate to implant kidneys from elderly donors in young recipients?,yes,19.00923,0.0248652,1,3.711527,0.1404648,1,5.281978,0.1420788,1,1.671549,0.14632,1,10.61107,0.0259088,0,19.72294,0.0263904,0,5.375456,0.1167286,0
20577124 | Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,yes,26.00024,0.0259637,0,6.05452,0.1393944,1,7.526914,0.142777,1,1.486911,0.1366215,0,22.69968,0.0247522,0,19.67128,0.0237761,1,8.213477,0.1176954,1
20629769 | Is primary angioplasty an acceptable alternative to thrombolysis?,yes,22.52365,0.0237768,1,5.523376,0.1458208,1,5.889068,0.154913,1,1.274608,0.1440902,0,18.62592,0.0232817,0,17.43075,0.0248808,0,6.61741,0.1137152,0
21228436 | Can teaching medical students to investigate medication errors change their atti,yes,18.41472,0.0232616,0,5.030082,0.1486273,1,6.177631,0.1443532,1,1.084521,0.1441186,0,14.26985,0.0238219,1,14.88125,0.0274641,0,4.629222,0.1156154,1
21342862 | Is EQ-5D a valid quality of life instrument in patients with acute coronary synd,yes,14.35101,0.0224531,0,5.482316,0.1474597,1,7.309874,0.1541717,1,1.248724,0.1363139,0,12.91111,0.0257832,0,12.8347,0.0253181,0,5.525324,0.1204806,0
21481154 | Improvements in survival of gynaecological cancer in the Anglia region of Englan,yes,24.57344,0.0259834,0,4.816592,0.1430479,1,9.423994,0.1422654,1,1.298125,0.1429496,0,11.9262,0.025275,1,21.7111,0.0257473,0,6.984313,0.1201219,1
21645374 | Do mitochondria play a role in remodelling lace plant leaves during programmed c,yes,27.5117,0.0268786,0,5.999432,0.150939,1,8.547586,0.1397089,1,1.672055,0.1384621,0,25.74067,0.0238735,0,22.5138,0.024284,0,6.351828,0.1218197,1
21689015 | Can dogs prime autistic children for therapy?,yes,17.55377,0.0276577,1,4.752374,0.1464619,1,5.765961,0.1398301,1,1.276012,0.1498885,0,15.48095,0.026403,0,16.95184,0.0268389,0,5.49422,0.1171035,1
21726930 | Is endometrial polyp formation associated with increased expression of vascular ,yes,16.60986,0.0248186,0,7.076905,0.1501326,1,6.579368,0.1372448,1,1.87577,0.1419508,1,19.82331,0.0252922,1,25.06494,0.0264115,0,9.102406,0.1142361,0
21850494 | Hepatorenal syndrome: are we missing some prognostic factors?,yes,29.19136,0.0240852,0,5.346763,0.1502123,1,6.121485,0.146443,1,1.635411,0.1448714,0,18.52867,0.0260354,0,11.94504,0.0280785,0,5.190062,0.1136324,0
21864397 | Factors determining the survival of nasopharyngeal carcinoma with lung metastasi,yes,27.70033,0.0279236,0,6.056831,0.1511931,1,7.690587,0.1424821,1,1.496094,0.1493521,0,21.08878,0.0237594,1,13.29658,0.0269966,0,6.216782,0.1170795,0
22075911 | Is there a differential in the dental health of new recruits to the British Arme,yes,17.757,0.0263557,0,5.441283,0.1583869,1,7.309008,0.1394588,1,1.278269,0.1426548,0,15.58025,0.0250513,0,16.65093,0.0258285,0,5.92427,0.1178676,0
22117569 | Is an advance care planning model feasible in community palliative care?,yes,12.90367,0.024796,1,4.729079,0.142849,1,6.745154,0.1479166,1,1.081849,0.150648,0,34.78595,0.025249,1,11.78981,0.0301097,1,6.481185,0.1184807,0
22266735 | Screening for gestational diabetes mellitus: are the criteria proposed by the in,yes,25.3884,0.0264286,1,7.874969,0.1503599,1,7.383928,0.1424837,1,1.490904,0.1477909,0,14.54154,0.0253438,0,20.27859,0.0248688,0,7.541206,0.1175866,1
22453060 | Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®,yes,18.78634,0.0271275,0,6.576848,0.1439273,1,6.688531,0.1413174,1,1.655639,0.1505699,0,15.95941,0.0233367,1,23.90599,0.0279281,0,6.713693,0.1301571,1
22497340 | Is horizontal semicircular canal ocular reflex influenced by otolith organs inpu,yes,11.48083,0.0248424,0,4.242513,0.1418396,1,5.833684,0.1423596,0,0.8795814,0.1459471,0,8.142951,0.0246875,0,18.30349,0.0264378,0,5.263669,0.1151692,0
22540518 | Is micro-computed tomography reliable to determine the microstructure of the max,yes,24.61516,0.0269319,1,5.61929,0.1458295,1,7.838279,0.1409696,1,1.473657,0.1439895,0,16.24397,0.0279419,1,21.47808,0.0279112,0,4.458631,0.122228,1
22680064 | Can third trimester ultrasound predict the presentation of the first twin at del,yes,24.40351,0.025931,0,4.703819,0.1504367,1,6.013583,0.1458069,1,1.0639,0.1337255,0,17.57983,0.0265495,0,16.18932,0.0275447,0,4.288888,0.1176226,0
22694248 | Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes,16.03296,0.0256765,1,5.320769,0.1429472,1,5.795564,0.141678,1,1.272804,0.1434253,0,13.63161,0.0254074,0,14.50623,0.0253683,0,5.106327,0.1149446,1
22902073 | Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean deli,yes,20.68248,0.0242407,0,4.277595,0.1443047,1,6.545139,0.1479592,1,1.083995,0.1431137,0,11.27216,0.0267522,1,17.81156,0.0245057,0,6.248056,0.1261878,1
23347337 | Is intensive chemotherapy safe for rural cancer patients?,yes,20.84129,0.0253258,0,5.337327,0.1571811,1,6.518752,0.1416673,1,1.496614,0.1380051,1,14.27944,0.0263423,0,16.95351,0.0251463,0,4.321334,0.1149324,0
23359100 | Is etoricoxib effective in preventing heterotopic ossification after primary tot,yes,15.29836,0.0274251,0,6.943091,0.149589,1,6.855232,0.1462372,1,1.253212,0.1454198,0,12.04184,0.0300886,0,14.65328,0.0274917,0,5.217877,0.115705,0
23495128 | The colour of pain: can patients use colour to describe osteoarthritis pain?,yes,20.67738,0.0259748,0,4.51133,0.1435175,1,7.416172,0.1497253,1,1.269799,0.1504852,0,16.31792,0.0252538,0,18.80209,0.0252832,1,6.351773,0.1225956,0
23736032 | Multidisciplinary decisions in breast cancer: does the patient receive what the ,yes,15.43264,0.0258773,0,4.995271,0.1593177,1,7.435186,0.1433642,1,1.272699,0.1440209,0,11.67929,0.023229,0,12.95175,0.0284928,0,8.209564,0.1216615,0
23810330 | Is intraoperative neuromonitoring associated with better functional outcome in p,yes,10.19454,0.0262898,1,6.974621,0.1360662,1,8.004294,0.1412529,1,1.472132,0.1462358,1,15.75801,0.0252997,0,21.44064,0.0249738,0,6.06944,0.1294323,1
23992109 | Is the urinary biomarkers assessment a non-invasive approach to tubular lesions ,yes,20.69518,0.0259675,0,5.345166,0.1490597,1,7.699474,0.1443909,1,1.88125,0.1484465,1,23.4752,0.0280329,0,15.44305,0.0258325,0,6.832523,0.1168607,0
24318956 | Is digoxin use for cardiovascular disease associated with risk of prostate cance,yes,16.87194,0.026484,0,6.272441,0.1429176,1,7.598118,0.1466712,0,1.476516,0.1484375,0,12.00022,0.024752,0,19.90042,0.0242568,0,5.957711,0.1132484,0
24340838 | Do ventricular arrhythmias in athletes subside over time?,yes,12.1313,0.0242979,0,4.792199,0.1577033,1,7.505636,0.1418924,0,1.463413,0.1399233,0,16.124,0.0258098,0,17.81281,0.0252869,0,5.797848,0.1164838,0
24352924 | Is portable ultrasonography accurate in the evaluation of Schanz pin placement d,yes,17.98834,0.0248877,0,5.069891,0.1463452,1,6.292649,0.1365282,0,1.263115,0.1375232,0,14.07707,0.0245528,0,18.76519,0.0253897,0,5.325747,0.1162245,0
24481006 | Should cavitation in proximal surfaces be reported in cone beam computed tomogra,yes,17.08552,0.0276688,1,5.804207,0.147455,1,6.722723,0.1434649,1,1.257212,0.1470632,0,15.11748,0.0258326,1,19.38242,0.0244998,1,5.50392,0.1186532,1
24622801 | Does implant coating with antibacterial-loaded hydrogel reduce bacterial coloniz,yes,18.99099,0.0269669,0,6.760717,0.1480714,1,7.062733,0.1446219,1,1.296332,0.139559,0,15.43408,0.0310246,0,22.25587,0.0234531,0,6.302216,0.1120435,0
25475395 | Is there a correlation between androgens and sexual desire in women?,yes,39.95036,0.027986,0,5.885125,0.1439403,1,8.143576,0.1421274,1,1.49003,0.1529053,0,18.61299,0.026501,0,19.85925,0.0258992,0,5.656202,0.1184173,0
25588461 | Can transcranial direct current stimulation be useful in differentiating unrespo,yes,24.43709,0.0274189,0,6.077771,0.1476775,1,7.024615,0.1472785,1,1.264414,0.138664,0,14.41459,0.0263921,0,24.51652,0.028917,0,6.163974,0.1146104,0
25756710 | Can emergency physicians accurately and reliably assess acute vertigo in the eme,yes,15.63633,0.0274935,1,6.298179,0.1558014,1,6.118595,0.1523003,1,1.725596,0.1387804,0,14.43321,0.0265802,0,16.0139,0.0291358,1,6.785471,0.114462,1
25810292 | Is minimally invasive mitral valve repair with artificial chords reproducible an,yes,16.38982,0.027694,1,5.402586,0.1520387,1,5.861809,0.1421302,1,1.486392,0.1377456,0,11.11524,0.0263875,1,14.14933,0.0247481,0,7.431414,0.1221892,1
25887165 | Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes,15.3183,0.0259748,0,4.60347,0.1479678,1,5.688776,0.1522536,1,1.282587,0.1356633,0,17.19056,0.0260554,0,13.34789,0.028545,1,5.564904,0.1171284,0
26163474 | Is there a connection between sublingual varices and hypertension?,yes,19.11905,0.0280353,1,6.96248,0.1528413,1,9.267217,0.1375177,1,1.652672,0.1368719,1,11.46429,0.0258609,1,10.43339,0.0261506,1,7.381277,0.1148214,1
26348845 | Pap smears with glandular cell abnormalities: Are they detected by rapid prescre,yes,22.90828,0.0247412,0,5.312279,0.1487974,1,6.902929,0.142899,0,1.501712,0.1365665,0,19.40029,0.0269493,0,24.86258,0.0278837,1,6.488662,0.1161691,0
26370095 | Are financial incentives cost-effective to support smoking cessation during preg,yes,25.84171,0.0273697,0,6.247173,0.1440777,1,4.53706,0.1462147,0,1.626552,0.1355359,0,23.05951,0.0253387,0,14.86919,0.0252406,0,7.556838,0.1184505,0
26419377 | Are pelvic anatomical structures in danger during arthroscopic acetabular labral,yes,19.50541,0.0243863,0,5.517776,0.1379348,1,7.03326,0.1414652,1,1.271688,0.1501824,0,19.59953,0.0262739,0,16.62738,0.0269189,0,6.940715,0.1212659,0
26548832 | Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient,yes,21.44498,0.0269212,0,6.265285,0.1582534,1,7.545954,0.1522711,0,2.081614,0.1409875,0,10.20259,0.0273851,0,15.75557,0.0262927,0,9.501235,0.1145034,1
26601554 | Do viral infections have a role in benign paroxysmal positional vertigo?,yes,15.29985,0.0257194,0,4.176103,0.1513544,1,8.016174,0.1459377,1,1.08309,0.1431596,0,10.99032,0.0279211,0,24.21716,0.0258712,0,5.443604,0.1165397,1
26879871 | Does depression diagnosis and antidepressant prescribing vary by location?,yes,28.01888,0.0258752,0,6.113163,0.1422499,1,5.609814,0.1374697,1,1.503174,0.1460743,0,22.02088,0.0258452,1,18.74382,0.0255559,0,4.332711,0.1208194,0
27050489 | The Prevalence of Incidentally Detected Idiopathic Misty Mesentery on Multidetec,yes,17.37256,0.0274367,0,6.281009,0.1407448,1,6.301725,0.1460053,1,1.281658,0.1503373,1,12.36404,0.0253941,0,20.15978,0.0269086,0,6.032784,0.1097717,0
27281318 | Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee F,yes,23.05561,0.0279623,0,12.73048,0.1531884,1,8.15497,0.1361794,1,3.626706,0.150365,0,15.99446,0.0274691,1,26.18569,0.0253944,0,6.816833,0.1220571,0
27287237 | Assessment of appropriate antimicrobial prescribing: do experts agree?,yes,19.9877,0.0217928,0,5.852791,0.1687232,1,5.668508,0.1369376,1,1.280237,0.1457588,0,14.17928,0.0242926,0,20.45377,0.0279435,0,6.664232,0.1166711,0
27549226 | Impact of MPH programs: contributing to health system strengthening in low- and ,yes,24.50185,0.0244718,0,5.541099,0.1441187,1,7.732508,0.1480338,1,1.863647,0.1436271,0,25.02353,0.0268519,0,24.4294,0.0280266,0,6.493607,0.1182323,1
27818079 | Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical ,yes,22.60256,0.0271753,0,5.39582,0.1521371,1,6.452217,0.144119,1,1.278369,0.1455266,0,14.2346,0.0284424,0,21.99488,0.0240391,0,6.230884,0.1212757,1
27858166 | Traumatic aortic injury: does the anatomy of the aortic arch influence aortic tr,yes,14.99386,0.0249452,0,5.987411,0.1578614,1,5.987004,0.141587,1,1.283917,0.1567401,0,13.76876,0.0223331,0,15.10675,0.0296673,0,4.834997,0.1096498,1
28143468 | Are performance measurement systems useful?,yes,21.14211,0.0237141,0,4.071316,0.1488629,1,5.701178,0.1567213,1,1.083941,0.1464403,0,9.578579,0.027336,1,14.39293,0.027459,0,6.248378,0.1174934,0
28707539 | Visceral adipose tissue area measurement at a single level: can it represent vis,yes,18.19659,0.0253339,1,5.718958,0.1495439,1,6.565263,0.1491173,1,1.093209,0.1591337,0,13.55333,0.0248178,1,16.38101,0.0254331,0,4.964167,0.1177462,1
8165771 | Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinica,yes,12.73117,0.0250639,0,4.725816,0.1443095,1,7.736103,0.1436405,1,1.065141,0.1335418,0,9.110516,0.0258642,0,20.00552,0.0264015,1,6.199625,0.1173151,0
9427037 | Are endothelial cell patterns of astrocytomas indicative of grade?,yes,26.40219,0.0273917,0,5.07556,0.1443767,1,7.400642,0.1438894,1,1.252843,0.1355024,0,18.72992,0.0263056,0,29.36642,0.0241862,0,6.815159,0.1151476,1
"9465206 | ""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute fo",yes,29.78146,0.0280487,0,6.999263,0.1570762,1,7.661211,0.1383027,1,2.080908,0.1456628,0,18.61917,0.0259622,1,29.67951,0.0230998,0,9.279157,0.1145981,0
9722752 | Does bone anchor fixation improve the outcome of percutaneous bladder neck suspe,yes,15.95405,0.0284613,0,6.086707,0.1491932,1,6.587113,0.1514387,1,1.269423,0.1407916,0,14.36845,0.0248678,0,16.10135,0.0263802,0,5.603609,0.1121126,0
