prompt,gold,anatomy-tutor__totalRequestTime,anatomy-tutor__loadSeconds,anatomy-tutor__correct,anatomy-tutor-fast__totalRequestTime,anatomy-tutor-fast__loadSeconds,anatomy-tutor-fast__correct,llama3.2__totalRequestTime,llama3.2__loadSeconds,llama3.2__correct,llama3.2:1b__totalRequestTime,llama3.2:1b__loadSeconds,llama3.2:1b__correct,meditron__totalRequestTime,meditron__loadSeconds,meditron__correct,medllama2__totalRequestTime,medllama2__loadSeconds,medllama2__correct,ncatmedllama__totalRequestTime,ncatmedllama__loadSeconds,ncatmedllama__correct,qwen2.5:3b__totalRequestTime,qwen2.5:3b__loadSeconds,qwen2.5:3b__correct
15388567 | Are sports medicine journals relevant and applicable to practitioners and athlet,no,0.9150523,0.0283989,0,0.5495042,0.1554871,0,0.5719582,0.1533723,0,0.1865294,0.1632748,1,2.377865,0.0269307,0,0.4822641,0.0256105,0,0.5950603,0.0269887,0,0.5922047,0.1174078,1
16418930 | Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,1.044227,0.0260967,0,0.5585409,0.1540171,0,0.6803447,0.1496058,0,0.1838803,0.1472829,1,2.610139,0.0255212,0,1.035565,0.0246685,0,0.9252203,0.0294283,0,0.748495,0.1255399,1
16465002 | Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide,yes,1.402401,0.0260638,0,0.5822338,0.1574793,1,0.6940688,0.1508192,1,0.1882855,0.1582039,0,0.5919457,0.0269786,0,1.536629,0.024625,0,1.384659,0.0257285,0,0.7768541,0.1249721,0
16713745 | Do cytokine concentrations in pancreatic juice predict the presence of pancreati,yes,1.131888,0.0250933,0,0.4472285,0.1508921,1,0.767331,0.145598,1,0.1859673,0.1535428,0,6.096509,0.02713,0,1.576159,0.0302568,0,0.8936273,0.0251843,0,0.4691042,0.1277658,0
16776337 | Pituitary apoplexy: do histological features influence the clinical presentation,yes,0.8709385,0.0279904,0,0.4744826,0.1505914,1,0.6669744,0.1477343,0,0.1762612,0.1496232,0,1.160976,0.0280733,0,0.8017523,0.0261553,0,0.9736125,0.0257465,0,0.3665291,0.1179323,1
16809243 | Is fetal gender associated with emergency department visits for asthma during pr,no,0.7697272,0.0241013,0,0.3884575,0.1523105,0,0.5339766,0.1538515,1,0.1799322,0.1485096,0,1.238732,0.026553,0,0.5188471,0.0307271,1,0.6951736,0.025683,0,0.6841887,0.1211543,1
16962519 | Volume change of uterine myomas during pregnancy: do myomas really grow?,no,0.8859331,0.027792,0,0.3994645,0.1527844,0,0.5604338,0.148918,0,0.1884574,0.150877,0,5.610131,0.0270015,0,0.7752635,0.0246496,0,1.021062,0.0251629,0,0.5505075,0.1301154,0
16968876 | Is a patient's self-reported health-related quality of life a prognostic factor ,maybe,0.595879,0.0272926,0,0.5486456,0.1491993,0,0.8301774,0.1544799,0,0.1838019,0.151326,1,0.4276231,0.0248334,0,0.6035207,0.0261424,0,1.008469,0.0267436,0,0.633697,0.1243111,0
17062234 | Surgical management of the atherosclerotic ascending aorta: is endoaortic balloo,no,1.347537,0.0288367,0,0.7914416,0.1535336,0,0.7123122,0.1510218,1,0.1865621,0.1446707,1,2.341496,0.0255435,0,0.8839618,0.0258473,0,0.7845447,0.0253119,0,0.6798328,0.1247946,1
17192736 | Is fluoroscopy essential for retrieval of lower ureteric stones?,no,1.32065,0.0292646,0,0.4376486,0.1552782,0,0.6273087,0.1607076,0,0.1899234,0.1515127,1,264.1969,0.0276953,1,0.8678421,0.0261489,0,1.242743,0.0290641,0,0.6997598,0.1243313,0
17306983 | Is size-reducing ascending aortoplasty with external reinforcement an option in ,yes,1.286379,0.0252096,1,0.5611483,0.1594479,1,0.6758041,0.1473868,1,0.1858991,0.1517959,0,13.35871,0.0267345,0,0.741601,0.0238103,1,1.203648,0.0257122,1,0.7864717,0.1218206,0
17342562 | The clinical significance of bile duct sludge: is it different from bile duct st,no,0.8934045,0.027884,0,0.5658267,0.1547061,0,0.8003266,0.1515135,0,0.1791185,0.1480247,0,0.3808625,0.0284691,0,1.545253,0.0288355,0,1.169424,0.0277039,1,0.5092848,0.1214767,1
17691856 | Midwives' competence: is it affected by working in a rural location?,maybe,0.8847792,0.027125,1,0.4725575,0.1545687,0,0.61355,0.1510187,0,0.1892373,0.1555168,0,1.383602,0.0277451,0,0.9375404,0.0283097,0,0.9480246,0.0291046,1,0.7030975,0.1252357,1
18019905 | The use of audit to identify maternal mortality in different settings: is it jus,no,1.256828,0.0287402,0,0.484753,0.1562729,0,0.6223894,0.1489023,0,0.1946569,0.1620303,1,0.5701992,0.0256166,0,1.611394,0.0266071,0,1.17957,0.0299736,0,0.8309085,0.1241592,1
18065862 | Can the postoperative pain level be predicted preoperatively?,yes,0.9487969,0.0272326,0,0.5732716,0.1587531,1,0.570792,0.1532849,0,0.174524,0.1479102,0,4.760189,0.0260155,0,0.9383648,0.0249664,0,1.11972,0.0263261,0,0.4197688,0.1209078,1
18235194 | Is a specialised training of phonological awareness indicated in every preschool,maybe,0.6937981,0.0295654,0,0.4721116,0.1537103,0,0.6003475,0.1500786,0,0.1741663,0.1444033,0,0.568267,0.0234893,0,0.7970523,0.02739,1,0.7678873,0.0261617,1,0.6990055,0.1273764,1
18239988 | Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine labo,yes,0.7684984,0.0318716,0,0.5709158,0.1513447,1,0.8856796,0.1563338,1,0.18866,0.1580001,1,0.4864261,0.0286379,0,1.026016,0.0239958,0,1.502501,0.0263228,0,1.070075,0.1228327,0
18274917 | Prognosis of low-tone sudden deafness - does it inevitably progress to Meniere's,no,0.6826184,0.0266966,0,0.4696926,0.1526889,0,0.6565006,0.146814,0,0.1941417,0.1643196,1,1.450825,0.0278293,0,0.9957635,0.025414,1,1.003666,0.0263792,1,0.5931414,0.1227041,1
"18284441 | Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis,",maybe,0.851624,0.0268041,0,0.5722165,0.1550388,0,0.5494802,0.1518444,0,0.1834536,0.150527,0,1.299441,0.0275936,0,1.263644,0.0289493,0,1.13149,0.0262286,0,0.5817936,0.1264455,1
18322741 | Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut,yes,0.5873652,0.0282445,0,0.5251578,0.1562933,1,0.7409475,0.1651361,1,0.1882613,0.1530745,0,2.256701,0.0280898,0,1.245162,0.0256834,0,0.810778,0.027544,0,0.7124205,0.1202344,0
18472368 | Does treatment duration affect outcome after radiotherapy for prostate cancer?,yes,0.6746802,0.0277477,0,0.4802418,0.1504171,1,0.7434781,0.1546628,1,0.1811471,0.1494527,0,0.9821702,0.0270228,0,0.95789,0.0234178,0,0.499155,0.0252932,0,0.8178157,0.1261083,0
18568239 | Is the ability to perform transurethral resection of the prostate influenced by ,yes,1.110572,0.0272366,0,0.5513887,0.1569979,1,0.6282009,0.1521643,1,0.1896312,0.1528533,0,1.680684,0.0259061,1,0.8797622,0.0255373,0,0.8391433,0.0296687,0,0.740717,0.1203612,0
18708308 | Can surgeon familiarization with current evidence lead to a change in practice?,no,0.7495933,0.0278379,0,0.4978224,0.1510635,0,0.5157163,0.1473728,1,0.1828323,0.1512089,1,7.819973,0.0274394,0,0.926392,0.0288834,0,0.4396699,0.0265032,0,0.5641657,0.123623,1
18719011 | Do overweight children necessarily make overweight adults?,no,1.234548,0.0259267,0,0.4648556,0.152268,0,0.5867671,0.1555366,0,0.1724349,0.1463538,0,1.372492,0.0257543,0,1.152114,0.0245026,0,0.9393433,0.0251481,0,0.4721425,0.1291687,0
19351635 | Do older patients receive adequate stroke care?,maybe,0.7443445,0.0257146,1,0.5090348,0.1545253,0,0.7047873,0.1517327,0,0.1952657,0.1534419,0,1.569424,0.0278048,0,1.470291,0.0244818,0,1.011954,0.0291637,1,0.5392742,0.1303186,0
19546588 | Does increasing blood pH stimulate protein synthesis in dialysis patients?,no,1.294812,0.0278297,0,0.5109755,0.1563552,0,0.6461687,0.1482775,0,0.1896256,0.150952,1,7.734588,0.0277897,1,1.351939,0.0274327,0,1.137836,0.029466,0,0.6387877,0.1187716,1
20337202 | Continuation of pregnancy after antenatal corticosteroid administration: opportu,maybe,1.396805,0.0246893,0,0.4444183,0.1488429,0,0.7080288,0.1529063,1,0.1786355,0.146838,1,1.518996,0.0256485,0,1.312503,0.0253873,0,0.9362733,0.0247245,0,0.9740055,0.1214405,1
20538207 | Should temperature be monitorized during kidney allograft preservation?,no,0.6537077,0.0272282,0,0.4630635,0.1556422,0,0.6134087,0.143613,0,0.1835364,0.1499754,1,0.7277292,0.0254129,0,0.9124732,0.0260596,0,0.8486762,0.0288542,0,0.6749764,0.1290461,0
20736887 | Is decompressive surgery effective for spinal cord sarcoidosis accompanied with ,no,0.8970213,0.0312094,0,0.5508556,0.1498748,0,0.5978599,0.1492999,0,0.1844977,0.1489465,0,0.6589249,0.0251682,1,1.283334,0.025471,0,1.584489,0.0278406,0,0.5520941,0.1273749,1
21164063 | Is there a role for fondaparinux in perioperative bridging?,no,1.468874,0.0273118,0,0.5915361,0.1537642,0,0.5438189,0.1444699,0,0.1830841,0.1508798,0,1.899995,0.0270588,0,1.257905,0.0277468,0,2.400054,0.0266546,0,0.8025782,0.1161249,0
21459725 | Xanthogranulomatous cholecystitis: a premalignant condition?,no,1.741093,0.0256844,1,0.503009,0.1631444,0,0.7015439,0.1479002,0,0.1843435,0.1487078,0,1.182444,0.0286761,0,0.836579,0.0252246,0,1.043333,0.0264067,0,0.8692518,0.1167342,0
21689015 | Can dogs prime autistic children for therapy?,yes,1.317635,0.0315134,0,0.4932141,0.1530448,1,0.5938975,0.1555805,1,0.181408,0.1539674,0,1.457577,0.0268587,1,0.7750382,0.0257321,0,1.120058,0.0256872,0,0.5476252,0.1258319,1
21712147 | Does combining antiretroviral agents in a single dosage form enhance quality of ,no,1.000167,0.0275618,0,0.5632406,0.1528605,0,0.729483,0.1469887,0,0.193209,0.1553308,0,1.317005,0.0253582,0,1.321856,0.0297821,0,1.341045,0.0289712,0,0.8293781,0.1245374,1
21789019 | Do elderly cancer patients have different care needs compared with younger ones?,no,1.010539,0.0287645,0,0.4767863,0.1544619,0,0.6443443,0.155168,0,0.1763602,0.146228,0,0.3946282,0.0299258,0,1.54961,0.0262546,1,0.6952632,0.0267362,0,0.6741398,0.1225479,0
21849531 | Does growth hormone replacement therapy reduce mortality in adults with growth h,no,0.7697313,0.0284326,0,0.5685228,0.1723674,0,0.7021317,0.1503666,0,0.1820116,0.1512885,0,0.5051337,0.0292887,0,1.661806,0.0258706,0,0.9834052,0.0265943,0,0.6210183,0.1213255,1
22075911 | Is there a differential in the dental health of new recruits to the British Arme,yes,0.8147442,0.0283684,0,0.4433211,0.1565397,1,0.76983,0.14269,1,0.1760765,0.1474325,0,1.325252,0.0266551,0,0.7358287,0.025269,0,1.105649,0.0283031,1,0.701116,0.1261129,0
22251324 | Does performance in selection processes predict performance as a dental student?,no,0.8896319,0.0282612,0,0.428055,0.1540418,0,0.6465171,0.1482423,1,0.184129,0.1542493,1,0.9846265,0.0268245,1,0.7604693,0.027452,1,0.9468558,0.0274527,0,0.5856085,0.128627,1
22532370 | Are increased carotid artery pulsatility and resistance indexes early signs of v,yes,1.177809,0.0266828,0,0.4314318,0.1592642,1,0.5193991,0.1498119,1,0.16928,0.1452026,0,0.9344975,0.0276057,0,1.484859,0.0276191,0,0.7343812,0.0315447,1,0.5494796,0.1288925,1
22656647 | Are acceptance rates of a national preventive home visit programme for older peo,yes,0.6300508,0.0308164,0,0.4984411,0.1487002,1,0.7529462,0.1491512,1,0.1727027,0.1446163,0,0.9740291,0.0307166,1,1.196993,0.0258599,0,0.7379722,0.0272979,0,0.5924252,0.1225853,0
23149821 | Should HIV-infected patients be screened for silent myocardial ischaemia using g,maybe,1.357665,0.0262073,0,0.5297735,0.1527389,0,0.6916654,0.1476906,0,0.183921,0.1533227,0,1.643882,0.0261573,1,0.9257918,0.0291662,0,1.645329,0.0293107,0,0.5607914,0.1206228,1
23224030 | Do European people with type 1 diabetes consume a high atherogenic diet?,yes,10.13741,9.247963,1,2.645296,2.317946,1,21.8033,7.993087,1,3.202706,3.133498,0,4.485889,4.013179,0,4.241837,3.448544,0,3.908796,3.032622,0,14.55919,9.346724,0
23448747 | Do older adults with cancer fall more often?,yes,1.28931,0.0239994,1,0.4317019,0.1541916,1,0.6268962,0.1476813,1,0.182128,0.1532306,0,1.319574,0.02837,0,0.7567716,0.0280702,0,0.8132728,0.0265202,0,0.5435717,0.1276755,1
23568387 | Is bicompartmental knee arthroplasty more favourable to knee muscle strength and,no,1.396072,0.0320245,0,0.6227609,0.1560327,0,0.5903984,0.1560888,0,0.1844258,0.1526064,1,1.139359,0.0259095,0,0.7520856,0.0260333,0,1.249328,0.0266336,0,0.5770503,0.1257463,1
23794696 | Does the bracket-ligature combination affect the amount of orthodontic space clo,no,1.27877,0.028003,0,0.5425694,0.1594615,0,0.6250487,0.1438576,1,0.1747415,0.1436845,0,5.079187,0.0261119,0,1.317351,0.0253564,1,0.7050873,0.0259247,0,0.5724867,0.1285724,1
23810330 | Is intraoperative neuromonitoring associated with better functional outcome in p,yes,1.261356,0.0295786,0,0.5376842,0.1550612,1,0.5970287,0.1493896,1,0.1734322,0.1430118,0,0.8126588,0.0262693,0,0.8038785,0.0247467,0,0.9939408,0.0310101,0,0.6724049,0.1243938,1
23916653 | Orthostatic myoclonus: an underrecognized cause of unsteadiness?,yes,1.50201,0.025655,1,0.5153549,0.1523439,1,0.6429294,0.1499311,1,0.1857981,0.1529695,0,1.19836,0.0272528,0,0.9868747,0.0272974,0,1.828434,0.0267793,0,0.5702283,0.1363861,1
23992109 | Is the urinary biomarkers assessment a non-invasive approach to tubular lesions ,yes,1.163283,0.0268516,0,0.5031914,0.1481868,1,0.6557533,0.1470639,1,0.1918466,0.1518869,1,1.551157,0.025925,0,1.637544,0.024365,0,1.292602,0.0278996,0,0.5619981,0.1236701,1
24013712 | Preoperative platelet count in esophageal squamous cell carcinoma: is it a progn,yes,0.9636413,0.0272261,0,0.5644454,0.1545425,1,0.7160493,0.1530803,1,0.1867423,0.1569576,1,0.9653963,0.0289301,0,0.7889518,0.0310527,0,0.76541,0.0257161,0,0.6987709,0.1258781,1
24014276 | Optimism and survival: does an optimistic outlook predict better survival at adv,yes,0.9699526,0.0268129,0,0.5535399,0.1602628,1,0.602759,0.1498388,1,0.1882433,0.1510009,1,2.334008,0.0267641,0,0.8505317,0.0270413,0,1.143527,0.0258112,1,0.5941273,0.1207416,0
24061619 | Location and number of sutures placed for hiatal hernia repair during laparoscop,no,0.8511662,0.0252275,0,0.530592,0.1523058,0,0.6202492,0.1542097,0,0.1809655,0.1417635,0,0.6315315,0.0264625,0,1.440391,0.0265095,1,0.9804975,0.0262252,0,0.8266098,0.1302208,0
24191126 | Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometri,yes,0.82934,0.0288849,0,0.4288283,0.1562883,1,0.6648861,0.155679,1,0.1878255,0.1564863,0,1.245515,0.0266384,0,1.415661,0.0251829,1,1.424314,0.0262462,0,0.6137801,0.1199236,0
24270957 | Is combined therapy more effective than growth hormone or hyperbaric oxygen alon,yes,1.370685,0.0272597,0,0.9792171,0.150359,1,0.581504,0.1435529,1,0.1741411,0.1416979,1,1.214672,0.0293692,0,0.8300072,0.0271712,0,1.537773,0.0255926,0,0.6445742,0.1235971,1
24336869 | Can routinely collected ambulance data about assaults contribute to reduction in,maybe,1.256504,0.0289144,0,0.5004308,0.1511506,0,0.7596468,0.1543657,0,0.1842346,0.1534868,0,5.461662,0.0263547,0,1.4618,0.0264116,0,0.9945294,0.0272019,0,0.5261601,0.1211178,1
24476003 | Is nasogastric decompression useful in prevention of leaks after laparoscopic sl,no,0.8270323,0.0309878,0,0.5295039,0.1518951,0,0.7993057,0.159938,0,0.1848979,0.1540122,1,6.014852,0.0261951,0,0.751536,0.0365774,0,0.8815171,0.0265286,0,0.6961406,0.1321678,0
24739448 | Have antiepileptic drug prescription claims changed following the FDA suicidalit,no,0.9167235,0.0267489,0,0.5575684,0.1560772,0,0.6603644,0.1477614,0,0.1849698,0.1506698,1,1.358904,0.027757,0,0.8421541,0.025561,1,0.6816694,0.022759,0,0.6451861,0.120739,1
24809662 | Does concomitant anterior/apical repair during midurethral sling improve the ove,no,0.8575639,0.0290693,0,0.4835417,0.1556973,0,0.7911013,0.1512393,0,0.1932477,0.1534476,0,2.142029,0.0268364,1,0.9323355,0.0255732,0,0.7786651,0.0278648,0,0.6572999,0.1223765,1
25103647 | Does government assistance improve utilization of eye care services by low-incom,maybe,0.8780461,0.027343,0,0.4964393,0.1542491,0,0.552157,0.1485349,0,0.182393,0.1511291,1,1.54734,0.0285982,0,1.376488,0.0273816,0,0.6813452,0.0308959,1,0.744308,0.1243764,0
25481573 | Processing fluency effects: can the content and presentation of participant info,yes,0.693934,0.0255351,1,0.6186079,0.1558008,1,0.6158626,0.1411679,1,0.1768618,0.1488158,0,6.636936,0.0230285,0,0.9984549,0.0265425,1,0.8723685,0.0258357,0,0.5590787,0.1234784,0
25488308 | Can bone thickness and inter-radicular space affect miniscrew placement in poste,no,1.287573,0.0271451,1,0.5454852,0.1583881,0,0.7071018,0.1617737,0,0.193082,0.1539602,1,3.61255,0.0266248,1,1.191878,0.0253023,0,0.5606641,0.0278734,0,0.5969422,0.1282103,0
25675614 | Can gingival crevicular blood be relied upon for assessment of blood glucose lev,yes,0.7870439,0.0256771,0,0.6439513,0.1542173,1,0.7376885,0.1455907,1,0.1772611,0.1449884,0,235.2406,0.0265535,0,1.290169,0.0253009,1,1.218877,0.0258368,0,0.6541042,0.1254063,0
25752912 | Is the probability of prenatal diagnosis or termination of pregnancy different f,no,1.445986,0.0262044,0,0.6045817,0.1525552,0,0.7849906,0.1433645,0,0.1758759,0.1453218,0,1.292316,0.0278949,0,1.211824,0.0307412,1,1.377788,0.0304807,1,0.6926956,0.1222401,1
25756710 | Can emergency physicians accurately and reliably assess acute vertigo in the eme,yes,1.009891,0.0273103,1,0.5145763,0.1536298,1,0.6408749,0.154256,1,0.1892691,0.155093,0,6.660073,0.0254224,0,0.5625924,0.0248974,1,0.7099701,0.0258188,1,0.8424335,0.1333205,0
26126304 | Estradiol and Antagonist Pretreatment Prior to Microdose Leuprolide in in Vitro ,no,1.285738,0.0265265,0,0.5906841,0.1565767,0,0.7791169,0.1497503,0,0.1814206,0.1498233,0,4.863646,0.0265779,0,1.368053,0.0268321,0,1.586669,0.0293744,1,0.7555781,0.1240666,1
26134053 | Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to ,maybe,0.6667203,0.0262811,0,0.5129616,0.1529598,0,0.6099854,0.1507772,0,0.1777543,0.1499547,0,1.234029,0.0263341,0,1.110155,0.0254236,0,0.9197479,0.0260428,1,0.6965736,0.1302219,1
26163474 | Is there a connection between sublingual varices and hypertension?,yes,1.445565,0.0272271,1,0.6220893,0.1513195,1,0.7410189,0.1444738,1,0.320087,0.1542413,1,0.8142469,0.0253295,0,0.5431398,0.0289608,0,1.445179,0.0273482,1,0.5732542,0.1218767,1
26215326 | Does the clinical presentation of a prior preterm birth predict risk in a subseq,yes,2.059847,0.0308749,1,0.6183701,0.151295,1,0.7239321,0.1476458,1,0.2026427,0.1558578,0,0.7776583,0.0261148,0,1.165537,0.0273477,0,1.398267,0.0290301,0,0.5601338,0.1245457,1
26348845 | Pap smears with glandular cell abnormalities: Are they detected by rapid prescre,yes,1.217031,0.0242017,0,0.4862495,0.15378,1,0.8579787,0.1531383,1,0.1752978,0.1427678,0,1.805666,0.0257492,1,0.7742983,0.0258659,0,1.206267,0.0269247,0,0.9786666,0.1166534,1
26516021 | Does evidence-based practice improve patient outcomes?,yes,1.240281,0.0246325,1,0.5499963,0.1560545,1,0.676333,0.1479197,1,0.1923385,0.1588939,0,0.947548,0.023718,0,1.794014,0.0259452,0,0.6663835,0.0257474,1,0.4709375,0.1192271,1
26548832 | Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient,yes,1.117768,0.0257051,0,0.5317187,0.1524837,1,0.6326909,0.1578387,1,0.3264824,0.1491966,0,0.9750986,0.0260104,0,0.851574,0.0262889,1,1.286451,0.0278293,0,0.7573003,0.1248841,1
26556589 | Does type 1 diabetes mellitus affect Achilles tendon response to a 10 km run?,no,0.8236988,0.02991,1,0.4823281,0.1513895,0,0.7030815,0.1460353,0,0.18546,0.1565585,1,1.290958,0.0269476,0,0.5941026,0.0267026,1,1.431788,0.0298249,0,0.5068178,0.1212231,1
26852225 | Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,0.9445086,0.0258103,0,0.4522911,0.1547305,0,0.6792214,0.1519016,0,0.1758774,0.1457657,0,1.224718,0.0279031,0,0.6859901,0.0292385,0,0.6959761,0.026974,0,0.748882,0.1247263,0
27136599 | Is it safe to perform rectal anastomosis in gynaecological debulking surgery wit,yes,0.6979967,0.0262099,0,0.5850683,0.1544668,1,0.7862256,0.1529384,1,0.1730071,0.1425263,0,1.186801,0.0270311,0,0.9007299,0.0250337,0,0.8713403,0.0278968,0,0.4865094,0.1216448,0
27287237 | Assessment of appropriate antimicrobial prescribing: do experts agree?,yes,0.4715901,0.026374,0,0.4340078,0.1512276,1,0.6811305,0.1502551,1,0.1727221,0.1452364,0,0.7577449,0.0248236,0,1.50369,0.0254292,0,0.7571314,0.0276753,0,0.6868791,0.1243017,0
