pmid,gold,raw_prediction,parsed_prediction,correct,model,total_seconds,timestamp
17306983,yes,maybe,maybe,0,llama3.2:1b,1.577157,2026-06-26 15:58:30
24318956,yes,maybe,maybe,0,llama3.2:1b,1.532781,2026-06-26 15:58:31
22266735,yes,no,no,0,llama3.2:1b,1.536297,2026-06-26 15:58:33
22453060,yes,no,no,0,llama3.2:1b,1.715272,2026-06-26 15:58:35
10401824,yes,no,no,0,llama3.2:1b,2.162002,2026-06-26 15:58:37
15208005,yes,no,no,0,llama3.2:1b,1.347627,2026-06-26 15:58:39
16713745,yes,no,no,0,llama3.2:1b,1.514155,2026-06-26 15:58:41
21864397,yes,maybe,maybe,0,llama3.2:1b,1.552501,2026-06-26 15:58:42
25810292,yes,No,no,0,llama3.2:1b,1.546174,2026-06-26 15:58:44
11943048,yes,no,no,0,llama3.2:1b,2.1303,2026-06-26 15:58:46
23347337,yes,yes,yes,1,llama3.2:1b,1.570124,2026-06-26 15:58:48
23992109,yes,yes,yes,1,llama3.2:1b,1.925509,2026-06-26 15:58:50
10922093,yes,no,no,0,llama3.2:1b,1.366803,2026-06-26 15:58:52
26601554,yes,no,no,0,llama3.2:1b,1.117694,2026-06-26 15:58:53
15489384,yes,no,no,0,llama3.2:1b,1.523727,2026-06-26 15:58:55
27818079,yes,maybe,maybe,0,llama3.2:1b,1.330166,2026-06-26 15:58:56
24340838,yes,maybe,maybe,0,llama3.2:1b,1.517364,2026-06-26 15:58:58
16971978,yes,maybe,maybe,0,llama3.2:1b,1.710054,2026-06-26 15:59:00
21689015,yes,No,no,0,llama3.2:1b,1.342688,2026-06-26 15:59:02
12846929,yes,no,no,0,llama3.2:1b,1.334002,2026-06-26 15:59:03
22694248,yes,maybe,maybe,0,llama3.2:1b,1.339447,2026-06-26 15:59:05
15488260,yes,maybe,maybe,0,llama3.2:1b,1.147606,2026-06-26 15:59:06
23690198,yes,maybe,maybe,0,llama3.2:1b,1.523417,2026-06-26 15:59:08
10173769,yes,no,no,0,llama3.2:1b,1.573456,2026-06-26 15:59:09
12098035,yes,no,no,0,llama3.2:1b,1.58569,2026-06-26 15:59:11
23448747,yes,maybe,maybe,0,llama3.2:1b,1.329054,2026-06-26 15:59:13
24359102,yes,no,no,0,llama3.2:1b,1.329318,2026-06-26 15:59:14
14697414,yes,maybe,maybe,0,llama3.2:1b,1.954401,2026-06-26 15:59:16
15050326,yes,maybe,maybe,0,llama3.2:1b,1.734625,2026-06-26 15:59:18
27131771,yes,no,no,0,llama3.2:1b,1.349351,2026-06-26 15:59:20
26923375,yes,no,no,0,llama3.2:1b,1.944953,2026-06-26 15:59:22
15841770,yes,yes,yes,1,llama3.2:1b,1.559529,2026-06-26 15:59:24
25503376,yes,maybe,maybe,0,llama3.2:1b,1.720523,2026-06-26 15:59:26
19394934,yes,maybe,maybe,0,llama3.2:1b,1.57009,2026-06-26 15:59:28
22188074,yes,Maybe,maybe,0,llama3.2:1b,1.540225,2026-06-26 15:59:29
21394762,yes,no,no,0,llama3.2:1b,1.146242,2026-06-26 15:59:31
9582182,yes,no,no,0,llama3.2:1b,1.289523,2026-06-26 15:59:32
28056802,yes,no,no,0,llama3.2:1b,1.91558,2026-06-26 15:59:34
18182265,yes,no,no,0,llama3.2:1b,1.765268,2026-06-26 15:59:36
9142039,yes,yes,yes,1,llama3.2:1b,1.578651,2026-06-26 15:59:38
20084845,yes,yes,yes,1,llama3.2:1b,1.370919,2026-06-26 15:59:40
24298614,yes,no,no,0,llama3.2:1b,1.326632,2026-06-26 15:59:41
12145243,yes,no,no,0,llama3.2:1b,1.358232,2026-06-26 15:59:43
21952349,yes,maybe,maybe,0,llama3.2:1b,1.300994,2026-06-26 15:59:44
27592038,yes,no,no,0,llama3.2:1b,1.555888,2026-06-26 15:59:46
25481573,yes,no,no,0,llama3.2:1b,1.215912,2026-06-26 15:59:47
20306735,yes,no,no,0,llama3.2:1b,1.847597,2026-06-26 15:59:49
26864326,yes,maybe,maybe,0,llama3.2:1b,1.813859,2026-06-26 15:59:51
21123461,yes,maybe,maybe,0,llama3.2:1b,1.781835,2026-06-26 15:59:53
12963175,yes,Yes.,yes,1,llama3.2:1b,1.59363,2026-06-26 15:59:55
10548670,yes,maybe,maybe,0,llama3.2:1b,1.78452,2026-06-26 15:59:57
21848798,yes,no,no,0,llama3.2:1b,1.759298,2026-06-26 15:59:59
25675614,yes,maybe,maybe,0,llama3.2:1b,1.361689,2026-06-26 16:00:01
25986020,yes,maybe,maybe,0,llama3.2:1b,1.350459,2026-06-26 16:00:02
18472368,yes,no,no,0,llama3.2:1b,1.568527,2026-06-26 16:00:04
26578404,yes,yes,yes,1,llama3.2:1b,2.024002,2026-06-26 16:00:06
14872327,yes,no,no,0,llama3.2:1b,1.206219,2026-06-26 16:00:08
23412195,yes,yes,yes,1,llama3.2:1b,1.552132,2026-06-26 16:00:09
24139705,yes,maybe,maybe,0,llama3.2:1b,1.754905,2026-06-26 16:00:11
23224030,yes,no,no,0,llama3.2:1b,1.597723,2026-06-26 16:00:13
24013712,yes,maybe,maybe,0,llama3.2:1b,1.622338,2026-06-26 16:00:15
15943725,yes,yes,yes,1,llama3.2:1b,1.773332,2026-06-26 16:00:17
27456836,yes,maybe,maybe,0,llama3.2:1b,1.765907,2026-06-26 16:00:19
24671913,yes,no,no,0,llama3.2:1b,1.751444,2026-06-26 16:00:21
22825590,yes,no,no,0,llama3.2:1b,1.759959,2026-06-26 16:00:23
23361217,yes,yes,yes,1,llama3.2:1b,1.355631,2026-06-26 16:00:24
18307476,yes,maybe,maybe,0,llama3.2:1b,1.509844,2026-06-26 16:00:26
22237146,yes,No,no,0,llama3.2:1b,1.556073,2026-06-26 16:00:28
25043083,yes,maybe,maybe,0,llama3.2:1b,1.949681,2026-06-26 16:00:30
26561905,yes,No,no,0,llama3.2:1b,1.360844,2026-06-26 16:00:32
23517744,yes,yes,yes,1,llama3.2:1b,1.323046,2026-06-26 16:00:33
27136599,yes,no,no,0,llama3.2:1b,1.144834,2026-06-26 16:00:34
10749257,yes,no,no,0,llama3.2:1b,1.120727,2026-06-26 16:00:36
17598882,yes,no,no,0,llama3.2:1b,1.560877,2026-06-26 16:00:38
15223779,yes,maybe,maybe,0,llama3.2:1b,1.564976,2026-06-26 16:00:39
16776337,yes,yes,yes,1,llama3.2:1b,0.9418658,2026-06-26 16:00:40
23916653,yes,maybe,maybe,0,llama3.2:1b,1.522261,2026-06-26 16:00:42
10201555,yes,No.,no,0,llama3.2:1b,1.662385,2026-06-26 16:00:44
24751724,yes,maybe,maybe,0,llama3.2:1b,2.602795,2026-06-26 16:00:47
8910148,yes,yes,yes,1,llama3.2:1b,1.793553,2026-06-26 16:00:49
18065862,yes,no,no,0,llama3.2:1b,1.170732,2026-06-26 16:00:50
22617083,yes,no,no,0,llama3.2:1b,1.132628,2026-06-26 16:00:52
25499207,yes,no,no,0,llama3.2:1b,2.215874,2026-06-26 16:00:54
16465002,yes,no,no,0,llama3.2:1b,1.605907,2026-06-26 16:00:56
25940336,yes,no,no,0,llama3.2:1b,2.021332,2026-06-26 16:00:58
24191126,yes,no,no,0,llama3.2:1b,1.221362,2026-06-26 16:00:59
8375607,yes,no,no,0,llama3.2:1b,1.159392,2026-06-26 16:01:01
26965932,yes,maybe,maybe,0,llama3.2:1b,2.343091,2026-06-26 16:01:03
22012962,yes,yes,yes,1,llama3.2:1b,1.56606,2026-06-26 16:01:05
12442934,yes,yes,yes,1,llama3.2:1b,1.240303,2026-06-26 16:01:07
19430778,yes,Maybe.,maybe,0,llama3.2:1b,1.594929,2026-06-26 16:01:08
20605051,yes,no,no,0,llama3.2:1b,1.189444,2026-06-26 16:01:10
19108857,yes,maybe,maybe,0,llama3.2:1b,1.372354,2026-06-26 16:01:11
24516646,yes,no,no,0,llama3.2:1b,2.033148,2026-06-26 16:01:14
25752725,yes,no,no,0,llama3.2:1b,1.61275,2026-06-26 16:01:15
20537205,yes,no,no,0,llama3.2:1b,1.220048,2026-06-26 16:01:17
20602784,yes,maybe,maybe,0,llama3.2:1b,1.194701,2026-06-26 16:01:18
22302761,yes,maybe,maybe,0,llama3.2:1b,2.055306,2026-06-26 16:01:21
18322741,yes,yes,yes,1,llama3.2:1b,1.806908,2026-06-26 16:01:23
14692023,yes,yes,yes,1,llama3.2:1b,1.382614,2026-06-26 16:01:24
22348433,yes,no,no,0,llama3.2:1b,1.221215,2026-06-26 16:01:26
26215326,yes,no,no,0,llama3.2:1b,1.749876,2026-06-26 16:01:28
23539689,yes,no,no,0,llama3.2:1b,1.031928,2026-06-26 16:01:29
9363244,yes,no,no,0,llama3.2:1b,1.084701,2026-06-26 16:01:30
24507422,yes,maybe,maybe,0,llama3.2:1b,1.905756,2026-06-26 16:01:32
22350859,yes,maybe,maybe,0,llama3.2:1b,1.386142,2026-06-26 16:01:34
19640728,yes,No,no,0,llama3.2:1b,1.743881,2026-06-26 16:01:36
23806388,yes,no,no,0,llama3.2:1b,1.820267,2026-06-26 16:01:38
9920954,yes,yes,yes,1,llama3.2:1b,2.117337,2026-06-26 16:01:40
8916748,yes,no,no,0,llama3.2:1b,1.481734,2026-06-26 16:01:42
11970923,yes,no,no,0,llama3.2:1b,1.018319,2026-06-26 16:01:43
19302863,yes,No,no,0,llama3.2:1b,1.534541,2026-06-26 16:01:45
22532370,yes,no,no,0,llama3.2:1b,0.9913838,2026-06-26 16:01:46
18179827,yes,maybe,maybe,0,llama3.2:1b,1.347114,2026-06-26 16:01:48
18399830,yes,yes,yes,1,llama3.2:1b,1.993825,2026-06-26 16:01:50
12595848,yes,maybe,maybe,0,llama3.2:1b,2.045774,2026-06-26 16:01:52
18158048,yes,no,no,0,llama3.2:1b,1.394119,2026-06-26 16:01:54
23848044,yes,no,no,0,llama3.2:1b,0.7558925,2026-06-26 16:01:55
11481172,yes,no,no,0,llama3.2:1b,0.9060029,2026-06-26 16:01:56
28247485,yes,maybe,maybe,0,llama3.2:1b,1.568361,2026-06-26 16:01:58
24977765,yes,No.,no,0,llama3.2:1b,1.836053,2026-06-26 16:02:00
14551704,yes,yes,yes,1,llama3.2:1b,1.405742,2026-06-26 16:02:01
12632437,yes,no,no,0,llama3.2:1b,2.378658,2026-06-26 16:02:04
20850631,yes,no,no,0,llama3.2:1b,2.054496,2026-06-26 16:02:06
17565137,yes,maybe,maybe,0,llama3.2:1b,1.759333,2026-06-26 16:02:08
9616411,yes,no,no,0,llama3.2:1b,1.199603,2026-06-26 16:02:10
22720085,yes,maybe,maybe,0,llama3.2:1b,1.745753,2026-06-26 16:02:12
21074975,yes,no,no,0,llama3.2:1b,1.366979,2026-06-26 16:02:13
25604390,yes,Maybe,maybe,0,llama3.2:1b,1.742854,2026-06-26 16:02:15
14968373,yes,no,no,0,llama3.2:1b,1.173979,2026-06-26 16:02:17
10135926,yes,no,no,0,llama3.2:1b,1.33534,2026-06-26 16:02:18
19419587,yes,no,no,0,llama3.2:1b,1.565629,2026-06-26 16:02:20
23379759,yes,no,no,0,llama3.2:1b,1.206309,2026-06-26 16:02:21
19923859,yes,no,no,0,llama3.2:1b,1.162304,2026-06-26 16:02:23
22656647,yes,maybe,maybe,0,llama3.2:1b,1.337318,2026-06-26 16:02:24
12163782,yes,no,no,0,llama3.2:1b,1.992509,2026-06-26 16:02:27
21658267,yes,no,no,0,llama3.2:1b,1.771173,2026-06-26 16:02:29
9199905,yes,No.,no,0,llama3.2:1b,1.633004,2026-06-26 16:02:30
23375036,yes,no,no,0,llama3.2:1b,1.16274,2026-06-26 16:02:32
24495711,yes,no,no,0,llama3.2:1b,1.370116,2026-06-26 16:02:33
26820719,yes,no,no,0,llama3.2:1b,1.770741,2026-06-26 16:02:35
26516021,yes,no,no,0,llama3.2:1b,1.769895,2026-06-26 16:02:37
20064872,yes,maybe,maybe,0,llama3.2:1b,1.982082,2026-06-26 16:02:40
15708048,yes,maybe,maybe,0,llama3.2:1b,1.593039,2026-06-26 16:02:41
29112560,yes,maybe,maybe,0,llama3.2:1b,1.765388,2026-06-26 16:02:43
23949294,yes,maybe,maybe,0,llama3.2:1b,1.609224,2026-06-26 16:02:45
10877371,yes,No,no,0,llama3.2:1b,1.354236,2026-06-26 16:02:47
23870157,yes,maybe,maybe,0,llama3.2:1b,1.549505,2026-06-26 16:02:49
18540901,yes,no,no,0,llama3.2:1b,1.360994,2026-06-26 16:02:50
21420186,yes,no,no,0,llama3.2:1b,1.556866,2026-06-26 16:02:52
12484580,yes,no,no,0,llama3.2:1b,0.9695241,2026-06-26 16:02:53
23321509,yes,maybe,maybe,0,llama3.2:1b,1.986113,2026-06-26 16:02:55
26907557,yes,no,no,0,llama3.2:1b,1.182896,2026-06-26 16:02:57
22644412,yes,maybe,maybe,0,llama3.2:1b,1.707705,2026-06-26 16:02:59
25521278,yes,no,no,0,llama3.2:1b,0.9771481,2026-06-26 16:03:00
21845457,yes,maybe,maybe,0,llama3.2:1b,1.576284,2026-06-26 16:03:02
18565233,yes,maybe,maybe,0,llama3.2:1b,1.767904,2026-06-26 16:03:04
17894828,yes,No.,no,0,llama3.2:1b,1.655749,2026-06-26 16:03:06
10490564,yes,no,no,0,llama3.2:1b,1.768566,2026-06-26 16:03:08
7860319,yes,no,no,0,llama3.2:1b,1.422372,2026-06-26 16:03:09
18568239,yes,no,no,0,llama3.2:1b,1.592352,2026-06-26 16:03:11
9488747,yes,no,no,0,llama3.2:1b,1.18542,2026-06-26 16:03:12
20354380,yes,maybe,maybe,0,llama3.2:1b,1.345541,2026-06-26 16:03:14
24245816,yes,yes,yes,1,llama3.2:1b,1.349226,2026-06-26 16:03:16
11481599,yes,maybe,maybe,0,llama3.2:1b,1.167575,2026-06-26 16:03:17
27217036,yes,no,no,0,llama3.2:1b,1.743083,2026-06-26 16:03:19
23283159,yes,no,no,0,llama3.2:1b,2.000126,2026-06-26 16:03:21
19593710,yes,maybe,maybe,0,llama3.2:1b,1.594818,2026-06-26 16:03:23
18693227,yes,no,no,0,llama3.2:1b,1.382017,2026-06-26 16:03:25
21346501,yes,No,no,0,llama3.2:1b,1.370747,2026-06-26 16:03:26
17910536,yes,no,no,0,llama3.2:1b,1.57564,2026-06-26 16:03:28
26304701,yes,maybe,maybe,0,llama3.2:1b,1.370817,2026-06-26 16:03:30
18616781,yes,maybe,maybe,0,llama3.2:1b,2.182115,2026-06-26 16:03:32
9483814,yes,No,no,0,llama3.2:1b,1.831625,2026-06-26 16:03:34
12848629,yes,no,no,0,llama3.2:1b,1.388038,2026-06-26 16:03:36
25280365,yes,no,no,0,llama3.2:1b,1.359669,2026-06-26 16:03:37
25311479,yes,no,no,0,llama3.2:1b,1.648148,2026-06-26 16:03:39
16046584,yes,no,no,0,llama3.2:1b,1.831646,2026-06-26 16:03:41
26418441,yes,No,no,0,llama3.2:1b,1.768442,2026-06-26 16:03:43
22683044,yes,maybe,maybe,0,llama3.2:1b,1.634882,2026-06-26 16:03:45
26200172,yes,yes,yes,1,llama3.2:1b,1.813111,2026-06-26 16:03:47
20121683,yes,no,no,0,llama3.2:1b,1.225162,2026-06-26 16:03:49
18222909,yes,maybe,maybe,0,llama3.2:1b,1.330615,2026-06-26 16:03:50
12221908,yes,yes,yes,1,llama3.2:1b,1.772877,2026-06-26 16:03:52
24014276,yes,No.,no,0,llama3.2:1b,1.819039,2026-06-26 16:03:55
24270957,yes,No,no,0,llama3.2:1b,1.626688,2026-06-26 16:03:56
18507507,yes,maybe,maybe,0,llama3.2:1b,1.213971,2026-06-26 16:03:58
16772913,yes,no,no,0,llama3.2:1b,1.735187,2026-06-26 16:04:00
12172698,yes,maybe,maybe,0,llama3.2:1b,1.789527,2026-06-26 16:04:02
26460153,yes,maybe,maybe,0,llama3.2:1b,1.58397,2026-06-26 16:04:04
12419743,yes,No,no,0,llama3.2:1b,1.611242,2026-06-26 16:04:05
25725704,yes,maybe,maybe,0,llama3.2:1b,1.614358,2026-06-26 16:04:07
25669733,yes,no,no,0,llama3.2:1b,1.581117,2026-06-26 16:04:09
24614789,yes,no,no,0,llama3.2:1b,0.9809174,2026-06-26 16:04:10
24996865,yes,no,no,0,llama3.2:1b,1.358063,2026-06-26 16:04:12
18928979,yes,maybe,maybe,0,llama3.2:1b,1.198056,2026-06-26 16:04:13
25699562,yes,maybe,maybe,0,llama3.2:1b,1.168518,2026-06-26 16:04:15
24577079,no,no,no,1,llama3.2:1b,1.340635,2026-06-26 16:04:16
24669960,no,yes,yes,0,llama3.2:1b,1.760985,2026-06-26 16:04:18
15502995,no,maybe,maybe,0,llama3.2:1b,1.407638,2026-06-26 16:04:20
21214884,no,no,no,1,llama3.2:1b,0.7691942,2026-06-26 16:04:21
24476003,no,no,no,1,llama3.2:1b,1.579051,2026-06-26 16:04:23
22758782,no,no,no,1,llama3.2:1b,1.60104,2026-06-26 16:04:25
14627582,no,No.,no,1,llama3.2:1b,1.839965,2026-06-26 16:04:27
24666444,no,No,no,1,llama3.2:1b,1.370666,2026-06-26 16:04:28
18496363,no,maybe,maybe,0,llama3.2:1b,1.593715,2026-06-26 16:04:30
12040336,no,no,no,1,llama3.2:1b,1.596795,2026-06-26 16:04:32
14631523,no,no,no,1,llama3.2:1b,1.368122,2026-06-26 16:04:34
21823940,no,maybe,maybe,0,llama3.2:1b,1.585986,2026-06-26 16:04:35
17971187,no,no,no,1,llama3.2:1b,1.017227,2026-06-26 16:04:37
27642458,no,maybe,maybe,0,llama3.2:1b,1.343595,2026-06-26 16:04:38
12970636,no,no,no,1,llama3.2:1b,1.575077,2026-06-26 16:04:40
11138995,no,no,no,1,llama3.2:1b,1.355263,2026-06-26 16:04:42
15388567,no,no,no,1,llama3.2:1b,0.7820345,2026-06-26 16:04:43
19142546,no,No,no,1,llama3.2:1b,1.5442,2026-06-26 16:04:44
8921484,no,no,no,1,llama3.2:1b,1.218801,2026-06-26 16:04:46
26209118,no,no,no,1,llama3.2:1b,1.735217,2026-06-26 16:04:48
22668852,no,no,no,1,llama3.2:1b,1.606365,2026-06-26 16:04:50
18019905,no,no,no,1,llama3.2:1b,1.353629,2026-06-26 16:04:51
18378554,no,no,no,1,llama3.2:1b,1.163826,2026-06-26 16:04:53
24073931,no,maybe,maybe,0,llama3.2:1b,2.018945,2026-06-26 16:04:55
7547656,no,no,no,1,llama3.2:1b,1.591466,2026-06-26 16:04:57
28359277,no,no,no,1,llama3.2:1b,1.20609,2026-06-26 16:04:58
18667100,no,no,no,1,llama3.2:1b,1.344469,2026-06-26 16:05:00
10781708,no,no,no,1,llama3.2:1b,1.211275,2026-06-26 16:05:01
22522271,no,no,no,1,llama3.2:1b,1.354596,2026-06-26 16:05:03
11955750,no,no,no,1,llama3.2:1b,1.368205,2026-06-26 16:05:04
26126304,no,no,no,1,llama3.2:1b,1.358668,2026-06-26 16:05:06
27338535,no,no,no,1,llama3.2:1b,2.58081,2026-06-26 16:05:09
24799031,no,no,no,1,llama3.2:1b,1.050071,2026-06-26 16:05:10
18319270,no,maybe,maybe,0,llama3.2:1b,1.558349,2026-06-26 16:05:12
21789019,no,maybe,maybe,0,llama3.2:1b,1.183387,2026-06-26 16:05:13
11567820,no,no,no,1,llama3.2:1b,1.534622,2026-06-26 16:05:15
10966943,no,yes,yes,0,llama3.2:1b,1.160628,2026-06-26 16:05:16
8199520,no,maybe,maybe,0,llama3.2:1b,1.146396,2026-06-26 16:05:18
21889895,no,no,no,1,llama3.2:1b,1.370042,2026-06-26 16:05:19
26113007,no,no,no,1,llama3.2:1b,0.9842986,2026-06-26 16:05:21
17208539,no,no,no,1,llama3.2:1b,1.582562,2026-06-26 16:05:22
20538207,no,maybe,maybe,0,llama3.2:1b,1.365832,2026-06-26 16:05:24
9603166,no,no,no,1,llama3.2:1b,1.173237,2026-06-26 16:05:25
21194998,no,no,no,1,llama3.2:1b,1.725581,2026-06-26 16:05:27
21252642,no,no,no,1,llama3.2:1b,1.165438,2026-06-26 16:05:29
16678696,no,no,no,1,llama3.2:1b,1.764547,2026-06-26 16:05:31
20549895,no,no,no,1,llama3.2:1b,1.798975,2026-06-26 16:05:33
16418930,no,maybe,maybe,0,llama3.2:1b,1.631316,2026-06-26 16:05:35
8521557,no,Maybe,maybe,0,llama3.2:1b,1.601313,2026-06-26 16:05:36
16809243,no,no,no,1,llama3.2:1b,1.367997,2026-06-26 16:05:38
10798511,no,No,no,1,llama3.2:1b,0.9642829,2026-06-26 16:05:39
10834864,no,maybe,maybe,0,llama3.2:1b,1.145439,2026-06-26 16:05:41
16962519,no,yes,yes,0,llama3.2:1b,1.606576,2026-06-26 16:05:42
19575104,no,maybe,maybe,0,llama3.2:1b,1.178198,2026-06-26 16:05:44
24809662,no,yes,yes,0,llama3.2:1b,1.766322,2026-06-26 16:05:46
20602101,no,yes,yes,0,llama3.2:1b,1.374668,2026-06-26 16:05:47
26852225,no,yes,yes,0,llama3.2:1b,1.355477,2026-06-26 16:05:49
19398929,no,no,no,1,llama3.2:1b,1.360841,2026-06-26 16:05:51
25614468,no,no,no,1,llama3.2:1b,1.618895,2026-06-26 16:05:52
11926574,no,No,no,1,llama3.2:1b,1.765843,2026-06-26 16:05:54
